 ,Region of interest ,"Total sample (N=71), t(SE) ","Total sample (N=71), p ","RUL patients (n=24), t(SE) ","RUL patients (n=24), p ","Switchers (n=29), t(SE) ","Switchers (n=29), p ","BL patients (n=18), t(SE) ","BL patients (n=18), p "
1 ,Left Frontal Pole ,-2.25 (0.057) ,0.028 ,-1.35 (0.180) ,0.193 ,-2.05 (0.061) ,0.051 ,-0.37 (0.150) ,0.718 
2 ,Right Frontal Pole ,-1.14 (0.058) ,0.258 ,-0.97 (0.104) ,0.345 ,-0.76 (0.094) ,0.458 ,0.65 (0.169) ,0.530 
3 ,Left Insular Cortex ,-2.13 (0.057) ,0.037 ,-2.29 (0.174) ,0.033 ,-1.89 (0.061) ,0.071 ,-0.36 (0.156) ,0.726 
4 ,Right Insular Cortex ,-0.06 (0.039) ,0.954 ,-0.42 (0.061) ,0.676 ,0.07 (0.057) ,0.946 ,0.74 (0.167) ,0.471 
5 ,Left Superior Frontal Gyrus ,0.54 (0.050) ,0.594 ,1.06 (0.083) ,0.300 ,0.68 (0.067) ,0.500 ,-0.30 (0.355) ,0.772 
6 ,Right Superior Frontal Gyrus ,1.15 (0.037) ,0.253 ,1.37 (0.059) ,0.188 ,1.22 (0.048) ,0.235 ,0.55 (0.308) ,0.602 
7 ,Left Middle Frontal Gyrus ,-1.30 (0.061) ,0.197 ,-0.56 (0.136) ,0.581 ,-1.26 (0.077) ,0.220 ,0.14 (0.197) ,0.891 
8 ,Right Middle Frontal Gyrus ,0.69 (0.041) ,0.494 ,0.66 (0.070) ,0.520 ,0.97 (0.056) ,0.340 ,0.71 (0.220) ,0.513 
9 ,Left Inferior Frontal Gyrus pars triangularis ,-1.40 (0.046) ,0.166 ,-2.99 (0.163) ,0.007* ,-1.72 (0.045) ,0.098 ,0.67 (0.119) ,0.515 
10 ,Right Inferior Frontal Gyrus pars triangularis ,-0.52 (0.028) ,0.608 ,-0.65 (0.050) ,0.526 ,-0.57 (0.038) ,0.572 ,1.10 (0.125) ,0.289 
11 ,Left Inferior Frontal Gyrus pars opercularis ,-1.41 (0.050) ,0.162 ,-1.45 (0.130) ,0.164 ,-1.34 (0.054) ,0.192 ,0.08 (0.147) ,0.937 
12 ,Right Inferior Frontal Gyrus pars opercularis ,-0.36 (0.031) ,0.718 ,-0.40 (0.053) ,0.691 ,0.09 (0.043) ,0.928 ,0.11 (0.174) ,0.909 
13 ,Left Precentral Gyrus ,0.20 (0.048) ,0.843 ,0.83 (0.092) ,0.417 ,0.53 (0.060) ,0.599 ,-0.33 (0.269) ,0.749 
14 ,Right Precentral Gyrus ,1.15 (0.028) ,0.254 ,0.87 (0.045) ,0.396 ,1.49 (0.035) ,0.150 ,0.42 (0.357) ,0.682 
15 ,Left Temporal Pole ,-1.78 (0.034) ,0.081 ,-2.38 (0.192) ,0.028 ,-2.44 (0.038) ,0.022 ,0.20 (0.062) ,0.844 
16 ,Right Temporal Pole ,-0.56 (0.031) ,0.579 ,0.08 (0.059) ,0.934 ,-0.18 (0.046) ,0.860 ,-0.51 (0.082) ,0.615 
